Symbol,Name,Exchange,Sector,Market Cap
CTAQ,Carney Technology Acquisition Corp II Cl A,NASDAQ,Business Services,514691000
HTPA,Highland Transcend Partners I Corp Cl A,NYSE,Retail-Wholesale,376875000
SFR,Appreciate Holdings Inc,NASDAQ,Finance,4765636000
PTIC,Proptech Investment Corp II Cl A,NASDAQ,Finance,308487000
NSTB,Northern Star Investment Corp II Cl A,NYSE,Business Services,400800000
ERIE,Erie Indemnity Company,NASDAQ,Finance,13043595000
PACX,Pioneer Merger Corp Cl A,NASDAQ,Business Services,506139000
LGV,Longview Acquisition Corp II Cl A,NYSE,Medical,865950000
CND,Concord Acquisition Corp Cl A,NYSE,Finance,357455000
ELF,E.L.F. Beauty Inc,NYSE,Consumer Staples,2909472000
GPC,Genuine Parts Company,NYSE,Auto-Tires-Trucks,25879044000
LANC,Lancaster Colony Cor,NASDAQ,Consumer Staples,5707326000
CPRX,Catalyst Pharm Inc,NASDAQ,Medical,1745271000
ORLY,O'Reilly Automotive,NASDAQ,Retail-Wholesale,54099456000
IPVA,Interprivate II Acquisition Corp Cl A,NYSE,Business Services,326742000
TWND,Tailwind Acquisition Corp Cl A,NYSE Arca,Computers and Technology,424454000
PCVX,Vaxcyte Inc,NASDAQ,Medical,3637819000
INSW,International Seaways Inc,NYSE,Transportation,2114280000
GMAB,Genmab A/S ADR,NASDAQ,Medical,30657080000
PWSC,Powerschool Holdings Inc Cl A,NYSE,Consumer Discretionary,4070203000
PI,Impinj Inc,NASDAQ,Computers and Technology,3305459000
RXDX,Prometheus Biosciences Inc,NASDAQ,Medical,1724236000
DHT,Dht Holdings,NYSE,Transportation,1730184000
EME,Emcor Group,NYSE,Construction,7381758000
FSLR,First Solar Inc,NASDAQ,Oils-Energy,18392734000
TWNK,Hostess Brands Inc,NASDAQ,Consumer Staples,3534617000
EXTR,Extreme Networks,NASDAQ,Computers and Technology,2754305000
FSS,Federal Signal Corp,NYSE,Conglomerates,2946352000
FCBC,First Community Bksh,NASDAQ,Finance,606423000
ASC,Ardmore Shipping Corp,NYSE,Transportation,602959000
AMLX,Amylyx Pharmaceuticals Inc,NASDAQ,Medical,2542242000
NAT,Nordic American Tanker Shipping Ltd,NYSE,Transportation,700322000
SGML,Sigma Lithium Corp,NASDAQ,Computers and Technology,3550084000
GL,Globe Life Inc,NYSE,Finance,11668508000
SCLE,Broadscale Acquisition Corp Cl A,NASDAQ,Computers and Technology,433572000
ADEX,Adit Edtech Acquisition Corp,NYSE,Medical,346035000
UCBI,United Comm Banks,NASDAQ,Finance,4137445000
IMCR,Immunocore Holdings Plc ADR,NASDAQ,Medical,2762007000
CI,Cigna Corp,NYSE,Finance,1.00555E+11
DYN,Dyne Therapeutics Inc,NASDAQ,Medical,609886000
TRMK,Trustmark Corp,NASDAQ,Finance,2229697000
CECO,Ceco Environmental Corp,NASDAQ,Industrial Products,415352000
CLFD,Clearfield Inc,NASDAQ,Computers and Technology,1818724000
BTRS,Btrs Holdings Inc,NASDAQ,Business Services,1559880000
MOD,Modine Manufacturing Company,NYSE,Auto-Tires-Trucks,1102936000
FGEN,Fibrogen Inc CS,NASDAQ,Medical,1350176000
TR,Tootsie Roll Industries,NYSE,Consumer Staples,3097775000
